CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 93 	 3 	 9 	
 93 	 4 	 10 	
 93 	 5 	 11 	
 93 	 6 	 11 	
 93 	 7 	 11 	
 93 	 8 	 11 	
 93 	 9 	 11 	
 93 	 10 	 11 	
 94 	 1 	 4 	
 94 	 2 	 7 	
 94 	 3 	 10 	
 94 	 4 	 10 	
 94 	 5 	 11 	
 94 	 6 	 11 	
 94 	 7 	 11 	
 94 	 8 	 12 	
 94 	 9 	 12 	
 94 	 10 	 12 	
 95 	 1 	 5 	
 95 	 2 	 8 	
 95 	 3 	 12 	
 95 	 4 	 12 	
 95 	 5 	 12 	
 95 	 6 	 12 	
 95 	 7 	 12 	
 95 	 8 	 12 	
 95 	 9 	 12 	
 95 	 10 	 12 	
 96 	 1 	 3 	
 96 	 2 	 8 	
 96 	 3 	 10 	
 96 	 4 	 10 	
 96 	 5 	 12 	
 96 	 6 	 12 	
 96 	 7 	 12 	
 96 	 8 	 12 	
 96 	 9 	 12 	
 96 	 10 	 12 	
 97 	 1 	 6 	
 97 	 2 	 8 	
 97 	 3 	 11 	
 97 	 4 	 11 	
 97 	 5 	 11 	
 97 	 6 	 12 	
 97 	 7 	 12 	
 97 	 8 	 12 	
 97 	 9 	 12 	
 97 	 10 	 12 	
 98 	 1 	 5 	
 98 	 2 	 5 	
 98 	 3 	 10 	
 98 	 4 	 10 	
 98 	 5 	 10 	
 98 	 6 	 10 	
 98 	 7 	 10 	
